Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
Logitech Lift,2022,7.8,7.1,6.9,6.5,Logitech,Matte,107.9,71.4,70.3,41.0,No,Left-Handed Version Available,Thumb,133.38,Back-heavy,3,1x AA,Wireless,,PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel + Free Wheel,Yes,Yes
Pulsar Xlite V2,2022,7.1,9.0,7.8,9.3,Pulsar,Matte,123.0,65.5,43.0,62.0,No,No,No,60.37,Centered,1,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Mechanical,Kailh GM 8.0,5,2,Yes,Notched Wheel,Yes,No
Razer Viper V2 Pro,2022,7.2,9.3,8.1,9.6,Razer,Matte,127.0,66.3,38.0,62.0,Shape Only,Yes,No,58.48,Centered,1,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,6,2,Yes,Notched Wheel,Yes,No
Corsair SABRE RGB PRO WIRELESS,2021,7.1,8.7,7.8,9.5,Corsair,Matte,129.0,69.0,42.0,63.0,No,No,No,78.65,Centered,2,Rechargeable,Wireless,1.8,PTFE,Mechanical,Omron D2FC-F-K(50M),7,2,Yes,Notched Wheel,Yes,Yes
Logitech MX Master 3S,2022,9.0,7.4,7.4,6.8,Logitech,Matte,126.0,84.0,52.0,58.0,No,No,Thumb,141.15,Centered,3,Rechargeable,Wireless,1.04,PTFE,Mechanical,Not Specified,8,3,No,Notched Wheel + Free Wheel,Yes,Yes
GLORIOUS Model O PRO,2022,6.9,8.8,7.7,9.1,GLORIOUS,Matte,127.67,66.9,38.0,60.0,Shape Only,Yes,No,56.53,Centered,1,Rechargeable,Wireless,2.07,Virgin Grade PTFE,Mechanical,Glorious Switches Rated for 80M Clicks,6,2,Yes,Notched Wheel,Yes,No
GLORIOUS Series One PRO,2022,6.9,8.9,7.6,9.1,GLORIOUS,Matte,118.6,62.2,38.6,57.0,Shape Only,Yes,No,50.6,Centered,1,Rechargeable,Wireless,2.05,Virgin Grade PTFE,Mechanical,Glorious Switches Rated for 80M Clicks,6,2,Yes,Notched Wheel,Yes,No
Finalmouse Starlight Pro - TenZ Medium,2022,6.8,9.0,6.8,9.1,Finalmouse,Matte,121.6,62.5,37.3,58.0,Shape Only,Yes,No,49.47,Centered,1,Rechargeable,Wireless,1.78,Virgin Grade PTFE,Optical,Kailh GM 8.0,6,2,No,Notched Wheel,No,No
Razer DeathAdder V3 Pro,2022,7.1,9.0,8.0,9.2,Razer,Matte,126.5,67.0,43.0,63.0,No,No,No,61.7,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,6,2,Yes,Notched Wheel,Yes,Yes
Logitech G502 X PLUS,2022,8.3,8.5,8.8,9.4,Logitech,Matte,130.0,78.0,41.0,62.0,No,No,Thumb,103.68,Centered,1,Rechargeable,Wireless,1.86,Virgin Grade PTFE,Optical,LIGHTFORCE,12,3,Yes,Notched Wheel + Free Wheel,Yes,Yes
Logitech G502 X,2022,7.6,8.7,8.7,9.3,Logitech,Matte,129.9,78.0,41.2,62.0,No,No,Thumb,83.7,Centered,Wired,No Batteries,Wired,1.77,Virgin Grade PTFE,Optical,LIGHTFORCE,12,3,Yes,Notched Wheel + Free Wheel,Yes,Yes
Fantech Aria XD7,2022,7.3,8.7,7.7,9,Fantech,Matte,113.1,63.98,38.39,61.0,No,Yes,No,60.37,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Kailh GM 8.0,7,2,Yes,Notched Wheel,Yes,No
Razer Naga V2 Pro,2022,8.8,8.3,9.2,9.3,Razer,Matte,119.0,72.0,43.0,68.0,No,No,Pinky,133.14,Centered,2,Rechargeable,Wireless,1.86,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,20,12,Yes,Notched Wheel + Free Wheel,Yes,Yes
Razer Naga V2 HyperSpeed,2022,8.8,8.4,9.1,9.2,Razer,Matte,119.0,72.0,43.0,68.0,No,No,Pinky,122.28,Centered,2,1x AA,Wireless,,Virgin Grade PTFE,Mechanical,Razer Mechanical Mouse Switch Gen 2,20,12,Yes,Notched Wheel + Free Wheel,Yes,No
Ninjutso Sora,2022,6.9,9.1,7.6,9.3,Ninjutso,Matte,120.8,65.3,37.4,59.0,Shape Only,Yes,No,47.0,Centered,1,Rechargeable,Wireless,1.93,Virgin Grade PTFE,Mechanical,Huano Pink Dot,6,2,No,Notched Wheel,Yes,No
Keychron M3,2023,7.2,8.4,7.5,9,Keychron,Matte,125.3,68.0,40.6,60.0,Shape Only,Yes,No,78.76,Centered,2,Rechargeable,Wireless,1.84,PTFE,Mechanical,Kailh GM 8.0,8,2,No,Notched Wheel,Yes,No
Razer DeathAdder V3,2023,6.4,9.3,8.1,9.6,Razer,Matte,126.5,67.0,43.0,63.0,No,No,No,55.96,Centered,Wired,No Batteries,Wired,1.88,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,6,2,Yes,Notched Wheel,Yes,No
GLORIOUS Model I 2 Wireless,2023,7.5,8.5,8.0,9.1,GLORIOUS,Matte,129.1,71.5,42.0,62.0,No,No,Thumb,73.11,Centered,2,Rechargeable,Wireless,2.0,Virgin Grade PTFE,Mechanical,Glorious Switches Rated for 80M Clicks,9,4,Yes,Notched Wheel,Yes,No
GLORIOUS Model O 2 Wireless,2023,7.1,8.5,7.4,9.1,GLORIOUS,Matte,127.0,66.7,38.0,60.0,Shape Only,Yes,No,68.18,Centered,2,Rechargeable,Wireless,1.98,Virgin Grade PTFE,Mechanical,Glorious Switches Rated for 80M Clicks,6,2,Yes,Notched Wheel,Yes,No
Pwnage StormBreaker,2023,7.0,9.4,7.7,9.6,Pwnage,Matte,122.0,63.7,42.0,60.0,No,No,No,51.83,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Omron D2FC-F-7N(20M)(OF),5,2,No,Notched Wheel,Yes,No
Razer Basilisk V3 X HyperSpeed,2023,7.5,8.3,8.2,9,Razer,Matte,130.0,75.0,42.0,62.0,No,No,Thumb,113.76,Back-heavy,2,1x AA,Wireless,,Virgin Grade PTFE,Mechanical,Razer Mechanical Mouse Switch Gen 2,7,3,Yes,Notched Wheel,Yes,No
HyperX Pulsefire Haste 2,2023,6.2,9.1,7.5,9.4,HyperX,Matte,124.4,66.7,38.1,62.0,Shape Only,Yes,No,52.61,Centered,Wired,No Batteries,Wired,1.78,Virgin Grade PTFE,Mechanical,HyperX Switch,6,2,No,Notched Wheel,Yes,No
ASUS ROG Harpe Ace Aim Lab Edition,2023,7.2,9.3,7.8,9.6,ASUS,Matte,127.5,63.8,39.6,58.0,Shape Only,Yes,No,54.78,Centered,2,Rechargeable,Wireless,2.04,Virgin Grade PTFE,Mechanical,ROG 70M Mechanical Switch,7,2,No,Notched Wheel,Yes,No
HyperX Pulsefire Haste 2 Wireless,2023,7.2,8.5,7.4,8.8,HyperX,Matte,124.4,66.7,38.1,62.0,Shape Only,Yes,No,60.33,Centered,2,Rechargeable,Wireless,1.81,Virgin Grade PTFE,Mechanical,HyperX Switch,6,2,No,Notched Wheel,Yes,No
GLORIOUS Model O 2,2023,6.5,9.1,8.0,9.4,GLORIOUS,Matte,127.0,66.7,38.0,60.0,Shape Only,Yes,No,59.4,Centered,Wired,No Batteries,Wired,2.0,Virgin Grade PTFE,Mechanical,Glorious Switches Rated for 80M Clicks,6,2,Yes,Notched Wheel,Yes,No
Razer Viper Mini Signature Edition,2023,7.4,9.6,8.4,9.8,Razer,Matte,118.4,61.6,39.0,60.0,Shape Only,Yes,No,48.25,Front-heavy,1,Rechargeable,Wireless,1.89,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,6,2,Yes,Notched Wheel,Yes,No
BenQ ZOWIE EC2-CW,2023,6.5,8.4,6.5,9.2,BenQ,Matte,123.0,65.8,42.2,60.0,No,No,No,77.51,Centered,1,Rechargeable,Wireless,2.09,PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel,No,No
Keychron M1 Wireless,2023,7.2,8.4,7.7,9.1,Keychron,Matte,130.0,66.7,38.3,63.0,True Ambidextrous,Yes,No,79.0,Centered,2,Rechargeable,Wireless,1.82,PTFE,Mechanical,Kailh GM 8.0,8,4,No,Notched Wheel,Yes,No
Endgame Gear XM2we,2022,7.2,9.0,7.8,9.3,Endgame Gear,Matte,122.0,66.0,38.0,61.0,Shape Only,Yes,No,62.8,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Kailh GO,6,2,Yes,Notched Wheel,Yes,No
Logitech MX Anywhere 3S,2023,7.8,7.6,7.0,6.9,Logitech,Matte,100.0,64.7,34.0,55.0,Shape Only,Yes,No,93.68,Centered,3,Rechargeable,Wireless,1.04,PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel + Free Wheel,Yes,Yes
Corsair DARKSTAR WIRELESS,2023,7.6,8.6,8.8,9.5,Corsair,Matte,129.5,67.8,42.5,63.0,No,No,No,98.28,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Not Specified,15,6,Yes,Notched Wheel,Yes,Yes
Razer Cobra,2023,6.2,8.9,7.9,9.2,Razer,Matte,119.8,62.5,38.0,60.0,Shape Only,Yes,No,57.32,Centered,Wired,No Batteries,Wired,1.86,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,6,2,Yes,Notched Wheel,Yes,No
Vaxee XE,2022,5.3,8.6,6.4,9.3,Vaxee,Matte,124.5,66.2,39.0,61.0,Shape Only,Yes,No,67.13,Centered,Wired,No Batteries,Wired,2.02,Virgin Grade PTFE,Mechanical,Huano 70g,9,2,No,Notched Wheel,No,No
Keychron M3 Mini,2023,7.2,8.8,7.6,9.1,Keychron,Matte,120.0,65.2,38.8,59.0,Shape Only,Yes,No,57.08,Centered,2,Rechargeable,Wireless,1.82,PTFE,Mechanical,Huano Blue Shell Pink Dot,7,2,No,Notched Wheel,Yes,Yes
Corsair NIGHTSABRE WIRELESS,2023,7.4,8.6,8.5,9.6,Corsair,Matte,130.0,63.0,41.0,57.0,Shape Only,Yes,No,96.85,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron D2FC-F-K,11,2,Yes,Notched Wheel,Yes,Yes
Finalmouse UltralightX,2023,6.3,9.4,6.8,9.6,Finalmouse,Matte,122.0,63.0,37.0,58.0,Shape Only,Yes,No,38.0,Centered,1,Rechargeable,Wireless,1.76,Virgin Grade PTFE,Mechanical,Omron D2FC-F-7N(20M),5,2,No,Notched Wheel,Yes,Yes
Corsair SCIMITAR ELITE WIRELESS,2023,7.7,8.4,8.7,9.5,Corsair,Matte,119.3,73.0,42.0,71.0,No,No,Pinky,113.0,Centered,2,Rechargeable,Wireless,1.81,PTFE,Optical,TTC Optical,17,12,Yes,Notched Wheel,Yes,Yes
Logitech G PRO X SUPERLIGHT 2,2023,7.0,9.4,8.1,9.8,Logitech,Matte,126.0,63.0,40.0,61.0,Shape Only,Yes,No,59.4,Centered,1,Rechargeable,Wireless,1.89,Virgin Grade PTFE,Optical,Omron D2FP-FH1,5,2,Yes,Notched Wheel,Yes,Yes
Razer Viper V3 HyperSpeed,2023,7.2,9.2,8.2,9.6,Razer,Matte,126.6,64.1,39.7,63.0,Shape Only,Yes,No,88.39,Centered,1,1x AA,Wireless,,Virgin Grade PTFE,Mechanical,Razer Mechanical Mouse Switch Gen 2,6,2,Yes,Notched Wheel,Yes,No
LAMZU Atlantis Mini 4K,2023,7.0,9.3,7.9,9.6,LAMZU,Matte,116.5,63.4,37.2,58.0,Shape Only,Yes,No,50.81,Centered,1,Rechargeable,Wireless,1.88,Virgin Grade PTFE,Mechanical,Huano Transparent Blue Pink Dot,6,2,Yes,Notched Wheel,Yes,No
Corsair M75 AIR,2023,7.2,9.1,7.8,9.4,Corsair,Matte,128.1,65.1,41.6,60.0,Shape Only,Yes,No,60.45,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,TTC Optical,6,2,Yes,Notched Wheel,Yes,Yes
WLmouse Beast X,2023,7.0,9.5,7.8,9.6,WLmouse,Matte,121.6,62.0,36.7,57.0,Shape Only,Yes,No,39.44,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron D2FP-FN2,5,2,No,Notched Wheel,Yes,Yes
Pulsar Xlite V3,2023,7.2,9.1,8.0,9.3,Pulsar,Matte,122.3,65.8,43.0,62.0,No,No,No,55.78,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,RAESHA Optical Switch,6,2,Yes,Notched Wheel,Yes,No
LAMZU MAYA,2023,7.2,9.2,7.9,9.3,LAMZU,Matte,118.0,62.0,38.0,59.0,Shape Only,Yes,No,46.4,Centered,1,Rechargeable,Wireless,1.89,Virgin Grade PTFE,Mechanical,Huano Blue Shell Pink Dot,6,2,Yes,Notched Wheel,Yes,No
BenQ ZOWIE U2,2024,6.6,8.6,6.7,8.9,BenQ,Matte,122.9,63.9,38.5,56.0,Shape Only,Yes,No,61.2,Centered,2,Rechargeable,Wireless,2.15,PTFE,Mechanical,Huano Transparent Blue Pink Dot,7,2,No,Notched Wheel,No,No
Logitech Pebble Mouse 2 M350s,2023,5.9,7.2,5.1,5.8,Logitech,Matte,106.8,58.7,27.0,58.0,True Ambidextrous,Yes,No,80.35,Back-heavy,3,1x AA,Wireless,,Plastic,Mechanical,Not Specified,4,0,No,Notched Wheel,Yes,Yes
3Dconnexion CadMouse Pro Wireless,2022,7.0,6.9,6.9,7.8,3Dconnexion,Matte,124.6,73.0,43.6,64.0,No,Left-Handed Version Available,Thumb and Ring finger,140.35,Centered,2,Rechargeable,Wireless,1.5,PTFE,Mechanical,Not Specified,9,2,No,Notched Wheel,Yes,Yes
Endgame Gear OP1 8k,2024,6.4,9.5,7.9,9.7,Endgame Gear,Matte,118.0,60.6,37.0,56.0,Shape Only,Yes,No,49.4,Centered,Wired,No Batteries,Wired,1.87,Virgin Grade PTFE,Mechanical,Kailh GX,6,2,No,Notched Wheel,Yes,No
Endgame Gear OP1we,2023,7.2,8.8,7.7,9.1,Endgame Gear,Matte,118.0,61.0,37.0,56.0,Shape Only,Yes,No,57.8,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,Kailh GO,6,2,Yes,Notched Wheel,Yes,No
Finalmouse ULX Pro Series,2024,6.3,9.4,6.7,9.6,Finalmouse,Matte,115.5,60.0,35.3,56.0,Shape Only,Yes,No,35.93,Centered,1,Rechargeable,Wireless,1.76,Virgin Grade PTFE,Mechanical,Huano Blue Shell Pink Dot,5,2,No,Notched Wheel,Yes,Yes
ASUS ROG Keris II Ace,2024,7.0,9.5,8.1,9.8,ASUS,Matte,121.0,67.0,41.9,62.0,No,No,No,54.4,Centered,4,Rechargeable,Wireless,2.1,Virgin Grade PTFE,Optical,ROG 100M Optical Micro Switch,7,2,Yes,Notched Wheel,Yes,No
GLORIOUS Model D 2 Wireless,2024,7.3,8.2,7.3,8.7,GLORIOUS,Matte,127.0,66.8,44.1,60.4,No,No,No,66.76,Centered,2,Rechargeable,Wireless,2.0,Virgin Grade PTFE,Mechanical,Glorious Switches Rated for 80M Clicks,6,2,Yes,Notched Wheel,Yes,No
Kensington SlimBlade Pro Trackball,2022,7.0,5.1,6.5,5.2,Kensington,Glossy,152.0,133.0,58.0,,True Ambidextrous,Yes,No,287.69,Front-heavy,2,Rechargeable,Wireless,1.5,Rubber,Mechanical,Not Specified,5,2,No,Free Wheel,Yes,Yes
Ploopy Adept Trackball,2023,5.9,6.8,7.4,9.3,Ploopy,Matte,116.3,100.2,59.2,,True Ambidextrous,Yes,No,230.78,Front-heavy,Wired,No Batteries,Wired,,Cork,Mechanical,Omron D2LS-21,6,2,Yes,Free Wheel,Yes,Yes
GLORIOUS Model D 2,2024,6.2,8.9,7.7,9.3,GLORIOUS,Matte,127.0,66.5,44.0,60.4,No,No,No,57.17,Centered,Wired,No Batteries,Wired,2.0,Virgin Grade PTFE,Mechanical,Glorious Switches Rated for 80M Clicks,6,2,Yes,Notched Wheel,Yes,No
Razer DeathAdder V3 HyperSpeed,2024,7.3,9.3,8.2,9.5,Razer,Matte,121.0,64.0,40.7,60.63,No,No,No,53.52,Centered,1,Rechargeable,Wireless,1.2,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,6,2,Yes,Notched Wheel,Yes,No
Vaxee ZYGEN NP-01S Wireless (4K),2023,6.6,9.0,6.9,9.4,Vaxee,Matte,119.0,62.8,37.0,57.0,No,No,No,68.6,Back-heavy,1,Rechargeable,Wireless,2.07,Virgin Grade PTFE,Mechanical,Huano Black Shell Pink Dot,8,2,No,Notched Wheel,No,No
Logitech G309 LIGHTSPEED,2024,7.3,8.7,7.9,9,Logitech,Matte,118.8,61.6,36.7,62.0,Shape Only,Yes,No,87.14,Back-heavy,2,1x AA,Wireless,,Virgin Grade PTFE,Optical,Omron D2FP-FH1,7,2,Yes,Notched Wheel,Yes,Yes
Keychron M7,2024,7.3,8.5,7.6,8.8,Keychron,Matte,127.4,76.3,41.0,59.0,No,No,Thumb,64.04,Centered,2,Rechargeable,Wireless,1.8,PTFE,Mechanical,Huano 80M Micro Switch,8,3,No,Notched Wheel,Yes,Yes
Logitech M340,2024,5.8,7.3,5.2,5.9,Logitech,Matte,107.0,59.0,27.0,58.0,True Ambidextrous,Yes,No,81.4,Back-heavy,1,1x AA,Wireless,,Plastic,Mechanical,Not Specified,3,0,No,Notched Wheel,Yes,Yes
WLmouse Beast X Max,2024,7.0,9.4,7.8,9.5,WLmouse,Matte,125.6,64.9,39.4,60.0,Shape Only,Yes,No,44.11,Centered,1,Rechargeable,Wireless,1.7,Virgin Grade PTFE,Optical,Omron Opticals,5,2,No,Notched Wheel,Yes,No
Logitech G PRO 2 LIGHTSPEED,2024,7.2,8.6,8.2,9.2,Logitech,Matte,125.7,63.4,40.0,60.0,True Ambidextrous,Yes,No,77.52,Centered,1,Rechargeable,Wireless,1.9,PTFE,Optical,LIGHTFORCE,8,4,Yes,Notched Wheel,Yes,Yes
Finalmouse UltralightX Competition,2024,6.1,9.3,6.6,9.5,Finalmouse,Matte,121.0,62.6,37.0,57.0,Shape Only,Yes,No,37.85,Centered,1,Rechargeable,Wireless,1.72,Virgin Grade PTFE,Mechanical,Huano Blue Shell Pink Dot,5,2,No,Notched Wheel,Yes,Yes
Endgame Gear XM2 8k,2024,6.4,9.5,8.0,9.8,Endgame Gear,Matte,122.0,66.3,38.2,61.0,Shape Only,Yes,No,52.47,Centered,Wired,No Batteries,Wired,1.85,Virgin Grade PTFE,Mechanical,Kailh GX,6,2,No,Notched Wheel,Yes,No
LAMZU MAYA X,2024,6.6,9.3,7.8,9.4,LAMZU,Matte,125.4,64.8,39.4,61.0,Shape Only,Yes,No,46.2,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,No
Endgame Gear XM2w 4k,2024,7.1,9.3,7.9,9.7,Endgame Gear,Matte,122.0,66.0,38.0,61.0,Shape Only,Yes,No,61.62,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Kailh GX,6,2,No,Notched Wheel,Yes,No
Fnatic x LAMZU MAYA 8K,2024,6.6,9.2,7.8,9.3,Fnatic,Matte,118.0,62.0,38.0,59.0,Shape Only,Yes,No,46.46,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,No
Pulsar X3,2024,7.1,9.1,7.8,9.3,Pulsar,Matte,125.0,67.7,46.2,64.1,Shape Only,Left-Handed Version Available,No,54.37,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,KAILH Optical Switch,6,2,No,Notched Wheel,Yes,No
WLmouse Strider,2025,7.0,9.4,7.8,9.6,WLmouse,Matte,121.8,66.0,37.8,61.0,Shape Only,Yes,No,46.76,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron Opticals,5,2,No,Notched Wheel,Yes,No
Pwnage Trinity CF,2025,7.0,9.4,7.8,9.5,Pwnage,Matte,118.6,60.7,39.0,57.0,Shape Only,Yes,No,40.27,Centered,1,Rechargeable,Wireless,1.77,Virgin Grade PTFE,Optical,Omron Opticals,5,2,No,Notched Wheel,Yes,Yes
ATTACK SHARK X3,2023,7.0,8.2,6.9,8.4,ATTACK SHARK,Matte,118.3,60.6,39.7,60.0,Shape Only,Yes,No,54.27,Centered,3,Rechargeable,Wireless,1.65,Virgin Grade PTFE,Optical,Kailh GM8.0 Black Gold Mamba,7,2,No,Notched Wheel,Yes,No
LAMZU Inca,2025,7.1,9.3,7.7,9.4,LAMZU,Matte,120.0,63.1,39.9,54.1,Shape Only,Yes,No,43.4,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,Yes
Keychron M5,2025,7.8,8.5,7.8,9.4,Keychron,Matte,117.0,86.6,72.4,59.7,No,No,Thumb and Pinky,98.08,Back-heavy,4,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Huano Transparent Blue Shell Pink Dot,7,2,No,Notched Wheel,Yes,Yes
BenQ ZOWIE EC2,2019,5.7,7.3,6.3,,BenQ,Matte,123.2,66.0,42.5,60.0,No,No,No,94.0,Centered,,No Batteries,Wired,2.11,PTFE,,,7,2,No,Notched Wheel,No,No
Anker Wireless Vertical Mouse,2013,7.1,6.0,5.2,,Anker,Matte,124.0,62.0,76.0,46.0,No,No,Thumb,112.52,Back-heavy,1,2x AAA,Wireless,,PTFE,,,6,2,No,Notched Wheel,No,No
Logitech G602,2013,7.0,7.4,7.8,8,Logitech,Matte,135.0,82.0,43.0,61.0,No,No,Thumb,151.34,Centered,1,2x AA,Wireless,,PTFE,,,12,6,Yes,Notched Wheel,Yes,Yes
Logitech M240,2023,6.2,7.4,5.4,5.7,Logitech,Matte,98.5,60.0,38.0,53.0,True Ambidextrous,Yes,No,77.5,Centered,1,1x AA,Wireless,,PTFE,Mechanical,Not Specified,4,0,No,Notched Wheel,Yes,Yes
BenQ ZOWIE EC1,2019,6.1,7.7,5.8,,BenQ,Matte,129.1,69.7,42.5,67.0,No,No,No,92.01,Centered,Wired,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
GameBall Mouse,2021,6.0,5.1,5.5,6.9,GameBall,Matte,161.3,118.6,50.3,64.0,True Ambidextrous,Yes,No,191.72,Front-heavy,Wired,No Batteries,Wired,2.0,Rubber,,,8,6,No,Tactile Surface,No,No
ELECOM HUGE M-HT1DRBK,2017,7.9,4.0,6.8,,ELECOM,Matte,182.0,114.4,60.0,85.0,No,No,Thumb and Pinky,315.64,Front-heavy,,2x AA,Wireless,,Rubber,,,10,6,No,Notched Wheel,Yes,Yes
Kensington SlimBlade Trackball,2006,6.8,5.2,4.8,,Kensington,Glossy,152.0,133.0,57.5,,Yes,No,No,294.26,Front-heavy,,No Batteries,Wired,1.5,Rubber,,,4,0,No,Free Wheel,Yes,Yes
ROCCAT Kone XP Air,2022,7.7,8.2,8.5,,ROCCAT,Matte,125.6,74.5,39.9,61.0,No,No,Thumb,97.63,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,,,14,5,Yes,Notched Wheel,Yes,No
ROCCAT Burst Pro Air,2022,8.2,8.3,7.8,,ROCCAT,Matte,120.0,67.0,39.0,60.0,Yes,No,No,80.82,Centered,,Rechargeable,Wireless,1.79,Virgin Grade PTFE,,,7,2,Yes,Notched Wheel,Yes,No
Logitech MX Anywhere 2S,2017,7.4,7.4,7.3,6.9,Logitech,Matte,100.0,61.36,33.7,54.0,Shape Only,No,No,104.45,Back-heavy,3,Rechargeable,Wireless,0.69,PTFE,,,8,2,No,Notched Wheel + Free Wheel,Yes,Yes
Cooler Master MM710,2019,6.5,8.2,7.7,,Cooler Master,Matte,115.0,63.0,39.0,61.0,Yes,No,No,53.85,Centered,,No Batteries,Wired,1.93,Virgin Grade PTFE,,,6,2,Yes,Notched Wheel,Yes,No
Finalmouse Starlight-12 Medium,2021,7.2,8.8,6.7,,Finalmouse,Matte,121.6,62.6,36.9,58.0,Yes,No,No,49.42,Centered,,Rechargeable,Wireless,1.8,Virgin Grade PTFE,,,6,2,No,Notched Wheel,No,No
Swiftpoint Z,2017,6.8,7.1,7.7,,Swiftpoint,Matte,129.8,94.6,43.3,63.0,No,No,Thumb and Ring finger,159.56,Back-heavy,,No Batteries,Wired,1.9,PTFE,,,13,2,Yes,Notched Wheel,Yes,No
Corsair IRONCLAW RGB Wireless,2020,8.0,8.2,8.1,,Corsair,Matte,126.0,80.0,47.0,64.0,No,No,Thumb,131.44,Centered,,Rechargeable,Wireless,1.8,PTFE,,,10,3,Yes,Notched Wheel,Yes,Yes
Razer Basilisk V2,2020,7.5,8.5,8.4,,Razer,Matte,130.0,75.0,42.0,62.0,No,No,Thumb,93.39,Front-heavy,,No Batteries,Wired,2.12,Virgin Grade PTFE,,,11,3,Yes,Notched Wheel + Free Wheel,Yes,No
GLORIOUS Model O- Wireless,2021,7.7,8.7,7.9,,GLORIOUS,Matte,120.0,63.0,35.0,58.0,Yes,No,No,64.23,Centered,,Rechargeable,Wireless,2.0,Virgin Grade PTFE,,,6,2,Yes,Notched Wheel,Yes,No
BenQ ZOWIE S2,2019,6.0,7.7,6.5,,BenQ,Matte,122.0,66.0,39.0,60.0,Yes,No,No,83.98,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
Vaxee ZYGEN NP-01S,2021,6.0,8.0,6.2,,Vaxee,Matte,119.9,63.2,37.0,60.0,No,No,No,112.93,Centered,,No Batteries,Wired,2.01,Virgin Grade PTFE,,,8,2,No,Notched Wheel,No,No
Razer Viper,2019,6.5,8.8,8.1,,Razer,Matte,127.0,66.0,38.0,62.0,True Ambidextrous,Yes,No,69.55,Centered,Wired,No Batteries,Wired,2.2,PTFE,,,8,4,Yes,Notched Wheel,Yes,No
Microsoft Pro IntelliMouse,2019,7.1,7.6,7.2,,Microsoft,Matte,132.1,68.9,42.4,66.0,No,No,No,131.2,Centered,,No Batteries,Wired,1.85,PTFE,,,5,2,No,Notched Wheel,Yes,No
ROCCAT Tyon,2014,7.1,7.0,7.8,,ROCCAT,Matte,129.0,82.0,46.0,65.0,No,No,Thumb,159.0,Centered,,No Batteries,Wired,1.8,PTFE,,,14,5,Yes,Notched Wheel,Yes,No
Corsair SABRE RGB PRO,2021,6.7,9.0,8.0,9.6,Corsair,Matte,129.0,69.2,42.4,63.0,No,No,No,71.19,Centered,Wired,No Batteries,Wired,2.1,PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
BenQ ZOWIE EC1-C,2021,6.3,8.0,6.3,,BenQ,Matte,130.0,70.0,43.2,67.0,No,No,No,125.46,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
Pulsar Xlite,2021,7.4,8.8,7.4,,Pulsar,Matte,123.7,65.9,42.1,62.0,No,No,No,42.61,Centered,,No Batteries,Wired,1.85,Virgin Grade PTFE,,,5,2,No,Notched Wheel,Yes,No
