Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
Pwnage Ultra Custom Wireless Symm,2021,8.0,7.8,7.2,,Pwnage,Matte,120.5,63.8,39.5,60.0,Yes,No,No,111.92,Centered,,Rechargeable,Wireless,1.85,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
DELUX M625,2017,7.2,7.5,7.2,,DELUX,Matte,130.6,68.0,42.2,65.0,No,No,No,132.11,Centered,,No Batteries,Wired,1.8,PTFE,,,7,2,No,Notched Wheel,Yes,No
ROCCAT Kain 120 AIMO,2019,7.2,7.9,7.7,,ROCCAT,Matte,124.4,63.5,42.4,63.0,No,No,No,123.68,Centered,,No Batteries,Wired,1.9,PTFE,,,6,2,Yes,Notched Wheel,Yes,No
Gigabyte AORUS M5,2018,7.1,7.3,7.2,,Gigabyte,Matte,125.7,70.2,42.3,68.0,No,No,No,161.5,Centered,,No Batteries,Wired,1.9,PTFE,,,7,2,No,Notched Wheel,Yes,No
DREVO Falcon Wireless RGB,2021,7.7,7.5,7.1,,DREVO,Matte,126.1,63.7,39.4,60.0,Yes,No,No,115.02,Centered,,Rechargeable,Wireless,1.8,PTFE,,,6,2,No,Notched Wheel,Yes,No
Xenics Titan GX AIR Wireless,2021,8.0,8.1,7.3,,Xenics,Matte,119.9,63.7,39.6,60.0,Yes,No,No,112.3,Centered,,Rechargeable,Wireless,1.9,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
MSI CLUTCH GM20 ELITE,2020,7.3,7.5,7.1,,MSI,Matte,129.8,82.5,40.5,67.0,No,No,Thumb,146.26,Back-heavy,,No Batteries,Wired,2.0,PTFE,,,6,2,No,Notched Wheel,Yes,No
HK Gaming Mira-S,2020,7.2,8.3,7.2,,HK Gaming,Matte,113.8,60.6,40.4,58.0,Yes,No,No,98.45,Centered,,No Batteries,Wired,1.85,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
HK Gaming Mira-M,2020,7.2,8.4,7.2,,HK Gaming,Matte,123.9,64.4,40.4,61.0,Yes,No,No,100.84,Centered,,No Batteries,Wired,1.85,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
MSI CLUTCH GM30,2020,7.1,7.5,7.1,,MSI,Matte,129.2,67.0,38.7,63.0,Yes,No,No,131.85,Back-heavy,,No Batteries,Wired,2.1,PTFE,,,6,2,No,Notched Wheel,Yes,No
Mountain Makalu 67,2020,7.1,8.6,7.8,,Mountain,Matte,125.9,70.3,43.2,62.0,No,No,No,106.96,Centered,,No Batteries,Wired,1.8,Virgin Grade PTFE,,,6,2,Yes,Notched Wheel,Yes,No
ROCCAT Kain 100 AIMO,2018,7.5,8.1,7.7,,ROCCAT,Matte,124.5,64.2,42.3,62.0,No,No,No,123.4,Centered,,No Batteries,Wired,1.9,PTFE,,,6,2,Yes,Notched Wheel,Yes,No
Redragon M601 RGB Centrophorus,2018,7.0,7.2,7.2,,Redragon,Matte,121.5,71.3,38.9,56.0,Yes,No,No,136.26,Centered,,No Batteries,Wired,1.9,PTFE,,,7,2,Yes,Notched Wheel,Yes,No
EQEOVGA D10 RGB,2020,6.6,8.3,7.1,,EQEOVGA,Matte,125.0,68.0,42.8,58.0,No,No,No,106.32,Centered,,No Batteries,Wired,1.85,PTFE,,,7,2,No,Notched Wheel,Yes,No
Nixeus REVEL Fit,2018,6.9,7.6,7.0,,Nixeus,Matte,129.0,69.8,43.6,59.0,No,No,Thumb,134.31,Centered,,No Batteries,Wired,1.7,PTFE,,,6,2,No,Notched Wheel,Yes,No
COUGAR Revenger,2016,7.2,7.3,7.2,,COUGAR,Matte,129.6,71.6,43.5,63.0,No,No,No,140.78,Back-heavy,,No Batteries,Wired,1.85,PTFE,,,6,2,No,Notched Wheel,Yes,No
Fnatic FLICK 2,2018,7.0,7.5,7.7,,Fnatic,Matte,130.9,70.2,39.9,63.0,Yes,No,No,134.55,Centered,,No Batteries,Wired,1.8,PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
Dell Alienware AW310M,2019,7.8,7.0,7.0,,Dell,Matte,133.8,77.6,43.2,60.0,Yes,No,Thumb and Pinky,118.65,Centered,,1x AA,Wireless,,PTFE,,,6,2,No,Notched Wheel,Yes,No
ROCCAT Kone Pure Ultra,2019,7.4,8.3,7.8,,ROCCAT,Matte,118.5,69.4,38.8,59.0,No,No,Thumb,103.4,Centered,,No Batteries,Wired,1.9,PTFE,,,7,2,Yes,Notched Wheel,Yes,No
DELUX Game Titan M626,2018,5.9,6.2,5.8,,DELUX,Matte,128.9,68.4,39.3,64.0,Yes,No,No,158.8,Centered,,No Batteries,Wired,1.85,PTFE,,,7,2,No,Notched Wheel,No,No
Dell Alienware AW510M,2019,7.3,7.9,7.5,,Dell,Matte,134.0,77.7,43.3,60.0,Yes,No,Thumb and Pinky,132.61,Centered,,No Batteries,Wired,1.85,PTFE,,,10,3,No,Notched Wheel,Yes,No
Mad Catz R.A.T. 4+,2019,6.7,7.5,7.7,,Mad Catz,Matte,130.4,88.1,38.6,59.0,No,No,Thumb,121.18,Centered,,No Batteries,Wired,1.85,PTFE,,,9,3,Yes,Notched Wheel,Yes,No
ROCCAT Kone AIMO Remastered,2019,7.3,7.1,8.0,,ROCCAT,Matte,129.1,83.7,42.6,69.0,No,No,Thumb,161.67,Centered,,No Batteries,Wired,1.85,PTFE,,,8,3,Yes,Notched Wheel,Yes,No
ROCCAT Kain 200 AIMO,2019,7.9,7.4,7.6,,ROCCAT,Matte,125.8,64.4,42.3,62.0,No,No,No,136.5,Centered,,Rechargeable,Wireless,1.85,PTFE,,,6,2,Yes,Notched Wheel,Yes,No
Mad Catz R.A.T. 2+,2019,6.5,7.6,5.8,,Mad Catz,Matte,115.9,70.1,39.7,51.0,Yes,No,No,100.86,Centered,,No Batteries,Wired,1.85,PTFE,,,4,0,No,Notched Wheel,Yes,No
Marsback Zephyr RGB,2020,6.2,7.8,6.3,,Marsback,Matte,121.8,65.2,40.2,56.0,Yes,No,No,114.86,Centered,,No Batteries,Wired,1.85,Virgin Grade PTFE,,,7,2,No,Notched Wheel,No,No
SteelSeries Prime+,2021,7.2,8.2,8.0,,SteelSeries,Matte,125.4,68.0,42.5,65.0,No,No,No,104.62,Centered,,No Batteries,Wired,2.05,PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
UtechSmart VENUS Pro,2020,7.9,6.4,7.8,,UtechSmart,Matte,120.2,80.4,41.9,65.0,No,No,Thumb,171.68,Centered,,Rechargeable,Wireless,1.85,PTFE,,,19,12,No,Notched Wheel,Yes,No
Cooler Master MasterMouse MM530,2017,7.4,7.7,7.7,,Cooler Master,Matte,124.7,69.2,39.4,64.0,No,No,No,135.61,Centered,,No Batteries,Wired,1.85,PTFE,,,7,2,Yes,Notched Wheel,Yes,No
DELUX M627,2019,7.4,6.9,7.2,,DELUX,Matte,122.1,70.8,41.2,62.0,Yes,No,Thumb and Pinky,169.95,Centered,,Rechargeable,Wireless,1.75,PTFE,,,8,4,No,Notched Wheel,Yes,No
ASUS ROG Gladius II Wireless,2019,8.2,7.0,7.1,,ASUS,Matte,126.2,67.2,44.3,63.0,No,No,No,163.28,Centered,,Rechargeable,Wireless,2.05,PTFE,,,6,2,No,Notched Wheel,Yes,No
ASUS ROG Keris,2021,7.1,8.6,7.2,,ASUS,Matte,118.1,61.9,39.7,58.0,No,No,No,95.9,Centered,,No Batteries,Wired,2.05,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
HyperX Pulsefire Raid,2020,7.2,7.5,7.7,,HyperX,Matte,128.6,69.2,41.1,62.0,No,No,No,127.06,Centered,,No Batteries,Wired,1.8,PTFE,,,11,5,No,Notched Wheel,Yes,No
DELUX M700,2020,7.0,7.5,7.1,,DELUX,Matte,128.0,67.0,38.5,63.0,Yes,No,No,95.64,Centered,,No Batteries,Wired,1.75,Virgin Grade PTFE,,,7,2,No,Notched Wheel,Yes,No
ASUS ROG Pugio II,2020,8.1,7.7,7.4,,ASUS,Matte,126.6,64.7,39.6,64.0,Yes,No,No,137.21,Centered,,Rechargeable,Wireless,1.85,PTFE,,,9,4,No,Notched Wheel,Yes,No
HyperX Pulsefire Surge,2018,7.3,7.4,7.3,,HyperX,Matte,120.7,62.7,40.6,60.0,Yes,No,No,135.67,Centered,,No Batteries,Wired,1.8,PTFE,,,6,2,No,Notched Wheel,Yes,No
ASUS ROG Strix Impact II Wireless,2020,7.7,8.3,7.2,,ASUS,Matte,119.7,62.3,39.4,56.0,Yes,No,No,137.13,Centered,,Rechargeable,Wireless,2.05,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
Razer Basilisk Essential,2019,7.2,7.3,7.5,,Razer,Matte,124.0,74.6,43.2,59.0,No,No,Thumb,129.49,Centered,,No Batteries,Wired,2.15,PTFE,,,7,3,Yes,Notched Wheel,Yes,No
